symptoms,predicted_condition,followup_questions
"avoidance_of_social_activity, excessive_fear_of_embarrassment, physical_symptoms_in_social_settings, significant_distress_in_daily_life",Social Anxiety Disorder,"['Is physical symptoms in social settings interfering with your relationships or work?', 'Does anything help relieve your significant distress in daily life?', 'Have you had professional help for avoidance of social activity before?', 'Have you had professional help for excessive fear of embarrassment before?']"
"feeling_of_worthless, loss_of_interest, sleep_disturbance, physical_aches_and_pains, thoughts_of_death",Depression,"['Is there a specific event that triggered your feeling of worthless?', 'Have you had professional help for thoughts of death before?', 'Do you notice sleep disturbance getting worse over time?', 'Do you notice physical aches and pains getting worse over time?', 'Does loss of interest affect your daily functioning?']"
"feeling_of_worthless, thoughts_of_death, low_energy, loss_of_interest",Depression,"['Have you talked to anyone about your thoughts of death?', 'Does loss of interest affect your daily functioning?', 'Does anything help relieve your low energy?', 'Is there a specific event that triggered your feeling of worthless?']"
"low_energy, loss_of_interest, thoughts_of_death, sleep_disturbance, feeling_of_worthless",Depression,"['Do you notice thoughts of death getting worse over time?', 'Does sleep disturbance affect your daily functioning?', 'Do you notice feeling of worthless getting worse over time?', 'Is there a specific event that triggered your loss of interest?', 'On a scale of 1 to 10, how severe is your low energy?']"
"low_energy, physical_aches_and_pains, loss_of_interest, sleep_disturbance",Depression,"['Is there a specific event that triggered your physical aches and pains?', 'Does loss of interest affect your daily functioning?', 'Have you had professional help for sleep disturbance before?', 'Does anything help relieve your low energy?']"
"feeling_of_worthless, physical_aches_and_pains, loss_of_interest, sleep_disturbance",Depression,"['Have you talked to anyone about your feeling of worthless?', 'On a scale of 1 to 10, how severe is your physical aches and pains?', 'How long have you experienced loss of interest?', 'Is sleep disturbance interfering with your relationships or work?']"
"avoidance_of_situations_that_trigger_obsession, excessive_fear_of_mistakes, sleep_problem_from_obsessive_thinking, unwanted_thoughts, difficulty_concentrating, depressive_symptoms",Obsessive-Compulsive Disorder (OCD),"['Have you talked to anyone about your depressive symptoms?', 'Is there a specific event that triggered your excessive fear of mistakes?', 'How long have you experienced difficulty concentrating?', 'On a scale of 1 to 10, how severe is your unwanted thoughts?', 'How long have you experienced avoidance of situations that trigger obsession?']"
"depressive_symptoms, sleep_problem_from_obsessive_thinking, excessive_fear_of_mistakes, unwanted_thoughts, difficulty_concentrating, avoidance_of_situations_that_trigger_obsession",Obsessive-Compulsive Disorder (OCD),"['Is unwanted thoughts interfering with your relationships or work?', 'Have you had professional help for excessive fear of mistakes before?', 'On a scale of 1 to 10, how severe is your sleep problem from obsessive thinking?', 'How long have you experienced avoidance of situations that trigger obsession?', 'Does difficulty concentrating affect your daily functioning?']"
"excessive_fear_of_mistakes, unwanted_thoughts, sleep_problem_from_obsessive_thinking, avoidance_of_situations_that_trigger_obsession, difficulty_concentrating",Obsessive-Compulsive Disorder (OCD),"['On a scale of 1 to 10, how severe is your unwanted thoughts?', 'On a scale of 1 to 10, how severe is your avoidance of situations that trigger obsession?', 'Does anything help relieve your sleep problem from obsessive thinking?', 'How do you usually cope with excessive fear of mistakes?', 'Does anything help relieve your difficulty concentrating?']"
"sleep_problem_from_obsessive_thinking, unwanted_thoughts, avoidance_of_situations_that_trigger_obsession, excessive_fear_of_mistakes",Obsessive-Compulsive Disorder (OCD),"['Have you talked to anyone about your avoidance of situations that trigger obsession?', 'Do you notice unwanted thoughts getting worse over time?', 'Have you had professional help for sleep problem from obsessive thinking before?', 'How long have you experienced excessive fear of mistakes?']"
"sleep_problem_from_obsessive_thinking, difficulty_concentrating, depressive_symptoms, avoidance_of_situations_that_trigger_obsession, unwanted_thoughts, excessive_fear_of_mistakes",Obsessive-Compulsive Disorder (OCD),"['On a scale of 1 to 10, how severe is your sleep problem from obsessive thinking?', 'Do you notice unwanted thoughts getting worse over time?', 'On a scale of 1 to 10, how severe is your depressive symptoms?', 'Is there a specific event that triggered your avoidance of situations that trigger obsession?', 'How do you usually cope with difficulty concentrating?']"
"difficulty_making_eye_contact, difficulty_speaking, rapid_heartbeat_during_social_interactions, avoid_eating_in_public, low_self-esteem, avoidance_of_social_activity",Social Anxiety Disorder,"['Have you had professional help for avoidance of social activity before?', 'How do you usually cope with difficulty speaking?', 'Does anything help relieve your difficulty making eye contact?', 'Does avoid eating in public affect your daily functioning?', 'Is there a specific event that triggered your low self-esteem?']"
"difficulty_making_eye_contact, excessive_fear_of_embarrassment, rapid_heartbeat_during_social_interactions, low_self-esteem",Social Anxiety Disorder,"['How long have you experienced low self-esteem?', 'On a scale of 1 to 10, how severe is your excessive fear of embarrassment?', 'How do you usually cope with difficulty making eye contact?', 'Does rapid heartbeat during social interactions affect your daily functioning?']"
"avoidance_of_social_activity, rapid_heartbeat_during_social_interactions, low_self-esteem, difficulty_speaking, difficulty_making_eye_contact, excessive_fear_of_embarrassment",Social Anxiety Disorder,"['Do you notice difficulty making eye contact getting worse over time?', 'How do you usually cope with rapid heartbeat during social interactions?', 'On a scale of 1 to 10, how severe is your difficulty speaking?', 'Is avoidance of social activity interfering with your relationships or work?', 'On a scale of 1 to 10, how severe is your low self-esteem?']"
"difficulty_making_eye_contact, low_self-esteem, avoidance_of_social_activity, excessive_fear_of_embarrassment",Social Anxiety Disorder,"['How long have you experienced low self-esteem?', 'Do you notice excessive fear of embarrassment getting worse over time?', 'Does difficulty making eye contact affect your daily functioning?', 'How do you usually cope with avoidance of social activity?']"
"avoid_eating_in_public, difficulty_speaking, excessive_fear_of_embarrassment, difficulty_making_eye_contact, low_self-esteem",Social Anxiety Disorder,"['Is difficulty making eye contact interfering with your relationships or work?', 'Have you talked to anyone about your excessive fear of embarrassment?', 'Is avoid eating in public interfering with your relationships or work?', 'Does anything help relieve your low self-esteem?', 'Is difficulty speaking interfering with your relationships or work?']"
